num,latitude,longitude,year,Name,Type 1,Type 2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary
11,37.54703079714611,126.57189695968637,2010,Metapod,Bug,,205,50,20,55,25,25,30,1,False
91,37.9357128071104,127.51942986939453,2010,Cloyster,Water,Ice,525,50,95,180,85,45,70,1,False
1,38.00423479263376,126.48248910620534,2010,Bulbasaur,Grass,Poison,318,45,49,49,65,65,45,1,False
148,37.33810863106552,126.93472626103411,2010,Dragonair,Dragon,,420,61,84,65,70,70,70,1,False
119,37.129230281715245,126.36254531968375,2010,Seaking,Water,,450,80,92,65,65,80,68,1,False
98,38.426223549509764,127.35670505213034,2010,Krabby,Water,,325,30,105,90,25,25,50,1,False
15,37.46838684601612,127.13968734825018,2010,Beedrill,Bug,Poison,395,65,90,40,45,80,75,1,False
15,37.46838684601612,127.13968734825018,2010,BeedrillMega Beedrill,Bug,Poison,495,65,150,40,15,80,145,1,False
81,37.30482309947131,126.55124592634004,2010,Magnemite,Electric,Steel,325,25,35,70,95,55,45,1,False
50,38.939723587991544,127.69339323968406,2010,Diglett,Ground,,265,10,55,25,35,45,95,1,False
70,38.04850880500912,126.91012087818822,2010,Weepinbell,Grass,Poison,390,65,90,50,85,45,55,1,False
91,37.4544933129503,127.68772841068504,2010,Cloyster,Water,Ice,525,50,95,180,85,45,70,1,False
38,37.77351007866837,127.3890652107688,2010,Ninetales,Fire,,505,73,76,75,81,100,100,1,False
41,37.83047300176988,127.34229762261478,2010,Zubat,Poison,Flying,245,40,45,35,30,40,55,1,False
4,37.34061354311627,127.11777365343315,2010,Charmander,Fire,,309,39,52,43,60,50,65,1,False
62,37.67229734895709,126.65695459270496,2010,Poliwrath,Water,Fighting,510,90,95,95,70,90,70,1,False
38,37.14659636090543,126.62129679260232,2010,Ninetales,Fire,,505,73,76,75,81,100,100,1,False
77,37.23733803612436,127.16897133733974,2010,Ponyta,Fire,,410,50,85,55,65,65,90,1,False
119,37.86834091598864,127.4018857083209,2010,Seaking,Water,,450,80,92,65,65,80,68,1,False
62,37.45475871278896,126.36654459666283,2010,Poliwrath,Water,Fighting,510,90,95,95,70,90,70,1,False
129,37.34446161089294,126.78634348340735,2010,Magikarp,Water,,200,20,10,55,15,20,80,1,False
131,38.1446898805596,127.19095221376499,2010,Lapras,Water,Ice,535,130,85,80,85,95,60,1,False
16,37.55553301346535,127.09388907079685,2010,Pidgey,Normal,Flying,251,40,45,40,35,35,56,1,False
145,38.12398167959045,127.07122081621407,2010,Zapdos,Electric,Flying,580,90,90,85,125,90,100,1,True
17,36.64948314403911,127.89600028064068,2010,Pidgeotto,Normal,Flying,349,63,60,55,50,50,71,1,False
112,37.25604609554023,127.63734640947172,2010,Rhydon,Ground,Rock,485,105,130,120,45,45,40,1,False
143,37.190648593732384,127.98809732294869,2010,Snorlax,Normal,,540,160,110,65,65,110,30,1,False
11,37.381451346407154,127.30088229986339,2010,Metapod,Bug,,205,50,20,55,25,25,30,1,False
77,38.34086359172962,126.60637805581894,2010,Ponyta,Fire,,410,50,85,55,65,65,90,1,False
50,38.53541495979198,127.03786659912318,2010,Diglett,Ground,,265,10,55,25,35,45,95,1,False
132,37.311544445342804,126.25057111918294,2010,Ditto,Normal,,288,48,48,48,48,48,48,1,False
94,37.30259852488948,126.28432027382588,2010,Gengar,Ghost,Poison,500,60,65,60,130,75,110,1,False
94,37.30259852488948,126.28432027382588,2010,GengarMega Gengar,Ghost,Poison,600,60,65,80,170,95,130,1,False
56,37.362607224094745,128.0387325964914,2010,Mankey,Fighting,,305,40,80,35,35,45,70,1,False
6,37.92768823123639,126.59204314660133,2010,Charizard,Fire,Flying,534,78,84,78,109,85,100,1,False
6,37.92768823123639,126.59204314660133,2010,CharizardMega Charizard X,Fire,Dragon,634,78,130,111,130,85,100,1,False
6,37.92768823123639,126.59204314660133,2010,CharizardMega Charizard Y,Fire,Flying,634,78,104,78,159,115,100,1,False
130,37.58691740951658,126.65535390808378,2010,Gyarados,Water,Flying,540,95,125,79,60,100,81,1,False
130,37.58691740951658,126.65535390808378,2010,GyaradosMega Gyarados,Water,Dark,640,95,155,109,70,130,81,1,False
39,38.1250971117023,127.83838205189959,2010,Jigglypuff,Normal,Fairy,270,115,45,20,45,25,20,1,False
81,37.51336570428312,126.8811085381527,2010,Magnemite,Electric,Steel,325,25,35,70,95,55,45,1,False
75,38.17754653528754,127.19866689493128,2010,Graveler,Rock,Ground,390,55,95,115,45,45,35,1,False
105,37.592661981058505,127.21189543886858,2010,Marowak,Ground,,425,60,80,110,50,80,45,1,False
104,37.436135742674594,126.84843991511028,2010,Cubone,Ground,,320,50,50,95,40,50,35,1,False
123,37.929721562812254,126.06517746360073,2010,Scyther,Bug,Flying,500,70,110,80,55,80,105,1,False
133,37.63555808093605,127.14161900064776,2010,Eevee,Normal,,325,55,55,50,45,65,55,1,False
26,37.42087832301895,127.66438939533376,2010,Raichu,Electric,,485,60,90,55,90,80,110,1,False
106,37.6189245577086,127.15310501918634,2010,Hitmonlee,Fighting,,455,50,120,53,35,110,87,1,False
150,36.887003229432125,127.96001597367258,2010,Mewtwo,Psychic,,680,106,110,90,154,90,130,1,True
150,36.887003229432125,127.96001597367258,2010,MewtwoMega Mewtwo X,Psychic,Fighting,780,106,190,100,154,100,130,1,True
150,36.887003229432125,127.96001597367258,2010,MewtwoMega Mewtwo Y,Psychic,,780,106,150,70,194,120,140,1,True
52,37.804844505576916,127.13041322316337,2010,Meowth,Normal,,290,40,45,35,40,40,90,1,False
91,38.08552121130552,126.96534361770205,2010,Cloyster,Water,Ice,525,50,95,180,85,45,70,1,False
144,37.11070224795784,126.86893299012644,2010,Articuno,Ice,Flying,580,90,85,100,95,125,85,1,True
25,38.002630796387415,126.92975062162243,2010,Pikachu,Electric,,320,35,55,40,50,50,90,1,False
36,38.01810958932123,127.40083741785725,2010,Clefable,Fairy,,483,95,70,73,95,90,60,1,False
47,38.52848371936752,126.52137483511206,2010,Parasect,Bug,Grass,405,60,95,80,60,80,30,1,False
36,37.89254859413706,126.8936781312304,2010,Clefable,Fairy,,483,95,70,73,95,90,60,1,False
100,36.36526165147391,126.84298746433115,2010,Voltorb,Electric,,330,40,30,50,55,55,100,1,False
24,37.749288672113416,126.86258048436531,2010,Arbok,Poison,,438,60,85,69,65,79,80,1,False
128,38.18317575765379,127.15728875085776,2010,Tauros,Normal,,490,75,100,95,40,70,110,1,False
116,37.73540459989622,127.17137499645447,2010,Horsea,Water,,295,30,40,70,70,25,60,1,False
93,37.45678195408462,126.90620837799162,2010,Haunter,Ghost,Poison,405,45,50,45,115,55,95,1,False
109,37.93975589685151,126.39347615081545,2010,Koffing,Poison,,340,40,65,95,60,45,35,1,False
77,37.53962596288316,126.50530038914383,2010,Ponyta,Fire,,410,50,85,55,65,65,90,1,False
44,37.35565024758598,127.02379655469633,2010,Gloom,Grass,Poison,395,60,65,70,85,75,40,1,False
98,37.49313338677308,126.46313124132945,2010,Krabby,Water,,325,30,105,90,25,25,50,1,False
56,37.31860995941736,127.86160407578015,2010,Mankey,Fighting,,305,40,80,35,35,45,70,1,False
90,37.854654371564386,127.58773375818821,2010,Shellder,Water,,305,30,65,100,45,25,40,1,False
36,37.65044539259163,126.77679517827674,2010,Clefable,Fairy,,483,95,70,73,95,90,60,1,False
36,38.6626393996713,127.24371959389174,2010,Clefable,Fairy,,483,95,70,73,95,90,60,1,False
97,37.305059637650565,127.1161575508121,2010,Hypno,Psychic,,483,85,73,70,73,115,67,1,False
108,37.122514328450656,127.23713721902743,2010,Lickitung,Normal,,385,90,55,75,60,75,30,1,False
41,36.811533436811914,126.59007290753183,2010,Zubat,Poison,Flying,245,40,45,35,30,40,55,1,False
86,37.71033812278213,127.42147186751158,2010,Seel,Water,,325,65,45,55,45,70,45,1,False
74,38.388575142484044,127.12179801939575,2010,Geodude,Rock,Ground,300,40,80,100,30,30,20,1,False
